Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,8,330,268,167,29,45,1,17,96,1,16
E:\Volkov\V3\V3\Volkov3,8,330,268,167,29,45,1,17,96,1,16
